index,stamp_sec,stamp_nanosec,pcd_file,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
20,1782418205,842550277,keyframe_000020.pcd,0.999624614369,0.027080617562,0.004155779187,1.688979783820,-0.027031273683,0.999568404602,-0.011502815510,-0.412273135274,-0.004465488920,0.011386161514,0.999925204570,1.041188328842,0.000000000000,0.000000000000,0.000000000000,1.000000000000
21,1782418211,542467594,keyframe_000021.pcd,0.999525682134,0.029639855050,0.008360008767,2.924454438705,-0.029554474138,0.999511553923,-0.010158082158,-0.942072979816,-0.008657009437,0.009906188335,0.999913458065,1.780715953603,0.000000000000,0.000000000000,0.000000000000,1.000000000000
22,1782418214,42323350,keyframe_000022.pcd,0.999945984021,0.008717558951,0.005659788450,4.274202556369,-0.008720548511,0.999961848409,0.000503746559,-1.040966707618,-0.005655181079,-0.000553075809,0.999983856387,2.608132190750,0.000000000000,0.000000000000,0.000000000000,1.000000000000
23,1782418216,442540407,keyframe_000023.pcd,0.999988910586,0.002800291029,0.003786433069,5.568562385854,-0.002835376257,0.999952802646,0.009292638105,-0.973633574642,-0.003760232268,-0.009303271018,0.999949653633,3.409596550742,0.000000000000,0.000000000000,0.000000000000,1.000000000000
24,1782418218,242437124,keyframe_000024.pcd,0.999948056814,0.006437498802,0.007902043025,6.861917385497,-0.006476173647,0.999967129203,0.004878492500,-0.709024650962,-0.007870377989,-0.004929414099,0.999956878084,4.223567082501,0.000000000000,0.000000000000,0.000000000000,1.000000000000
25,1782418221,942441463,keyframe_000025.pcd,0.205704437730,-0.811241710633,-0.547332231124,6.976120783702,0.869789755986,-0.104763990363,0.482172465727,0.790512093549,-0.448499124504,-0.575248983704,0.684059311805,4.377377586734,0.000000000000,0.000000000000,0.000000000000,1.000000000000
26,1782418224,42303800,keyframe_000026.pcd,0.424398797327,-0.807654231832,-0.409365732118,6.988998779089,0.848716220287,0.197271954560,0.490677647102,2.309603527509,-0.315541500042,-0.555678340183,0.769191227201,4.467230867023,0.000000000000,0.000000000000,0.000000000000,1.000000000000
27,1782418227,442319869,keyframe_000027.pcd,0.229980559345,-0.816405484228,-0.529708436449,7.109843534906,0.872612981326,-0.067996377211,0.483655949521,3.820685021089,-0.430877624325,-0.573461923765,0.696768178699,4.628245365868,0.000000000000,0.000000000000,0.000000000000,1.000000000000
28,1782418237,542104482,keyframe_000028.pcd,0.963619410991,0.053969247486,-0.261772708830,8.212657901673,-0.061821970453,0.997847994192,-0.021850044753,3.483591976018,0.260030141967,0.037238431926,0.964882181645,5.687300669861,0.000000000000,0.000000000000,0.000000000000,1.000000000000
29,1782418245,142477035,keyframe_000029.pcd,0.226761802287,0.874086316500,-0.429595386766,8.471371033979,-0.810116470232,-0.075569107722,-0.581378202737,1.989830473119,-0.540638871783,0.479856667418,0.690975534337,5.843094629290,0.000000000000,0.000000000000,0.000000000000,1.000000000000
30,1782418246,942355871,keyframe_000030.pcd,0.342036708899,0.871495568167,-0.351434722858,8.251762544423,-0.820044745842,0.094209703026,-0.564491936764,0.496296488496,-0.458843660283,0.481269162237,0.746888538470,5.619925681688,0.000000000000,0.000000000000,0.000000000000,1.000000000000
31,1782418257,242309570,keyframe_000031.pcd,-0.434106898322,0.128734460210,-0.891615746600,8.777246836251,-0.019231805788,-0.990835679568,-0.133696648204,1.904519618829,-0.900656060034,-0.040891256392,0.432604399741,6.025040756402,0.000000000000,0.000000000000,0.000000000000,1.000000000000
32,1782418259,842376232,keyframe_000032.pcd,-0.436590395662,0.125557982771,-0.890855779225,8.928092353842,-0.019042971181,-0.991281272262,-0.130379463534,3.404777140984,-0.899458832668,-0.039957880640,0.435174879917,6.201529283816,0.000000000000,0.000000000000,0.000000000000,1.000000000000
33,1782418264,242400407,keyframe_000033.pcd,-0.257910736809,0.017881240331,-0.966003267636,8.028902381794,0.101067040503,-0.993844096943,-0.045380219199,4.496406610725,-0.960868099774,-0.109335137147,0.254515859275,5.528133662273,0.000000000000,0.000000000000,0.000000000000,1.000000000000
34,1782418269,942270755,keyframe_000034.pcd,-0.461635226071,-0.113979784917,-0.879716730932,7.057226092325,0.222318551004,-0.974926296424,0.009652897035,3.617680215340,-0.858759209517,-0.191121231610,0.475400141878,4.720041312358,0.000000000000,0.000000000000,0.000000000000,1.000000000000
35,1782418272,242501258,keyframe_000035.pcd,-0.457247838957,-0.114048658165,-0.881996211636,6.990883166250,0.217963024627,-0.975867896087,0.013189741586,2.086667882148,-0.862216059735,-0.186211581161,0.471071877081,4.574621314802,0.000000000000,0.000000000000,0.000000000000,1.000000000000
36,1782418274,542469978,keyframe_000036.pcd,-0.463227803337,-0.110800489479,-0.879285649688,6.833712096773,0.218296209474,-0.975850049262,0.007965317672,0.579505766866,-0.858933505660,-0.188254967764,0.476228201567,4.382008285342,0.000000000000,0.000000000000,0.000000000000,1.000000000000
37,1782418279,442382097,keyframe_000037.pcd,0.367172593047,-0.829239864818,-0.421361523531,5.736651025367,0.860411540589,0.130692419881,0.492556059964,-0.414612088831,-0.353378363425,-0.543397403364,0.761474224305,3.534627489117,0.000000000000,0.000000000000,0.000000000000,1.000000000000
38,1782418282,42408704,keyframe_000038.pcd,0.381614744277,-0.819013460222,-0.428470697862,4.405689838011,0.857685734727,0.140944739881,0.494479282423,-0.187417789716,-0.344594497048,-0.556193790217,0.756242752249,2.774361542053,0.000000000000,0.000000000000,0.000000000000,1.000000000000
39,1782418285,242444753,keyframe_000039.pcd,0.377571987917,-0.821114708101,-0.428030407893,3.139060424548,0.858847041781,0.137741193159,0.493365100642,0.065506080412,-0.346151921509,-0.553893491429,0.757219154134,2.002872721621,0.000000000000,0.000000000000,0.000000000000,1.000000000000
40,1782418287,742663145,keyframe_000040.pcd,0.489667479252,-0.790159784828,-0.368609921466,1.859347739354,0.827562859728,0.288076656595,0.481821079991,0.308133014976,-0.274527727128,-0.540979994422,0.794968661441,1.220439018847,0.000000000000,0.000000000000,0.000000000000,1.000000000000
41,1782418290,242667436,keyframe_000041.pcd,0.998736775364,-0.049997489121,0.005010450709,0.791473928091,0.049728274037,0.997785559190,0.044170993119,1.149631682086,-0.007207794110,-0.043866034167,0.999011420731,0.574221246314,0.000000000000,0.000000000000,0.000000000000,1.000000000000
